Video name,Video link,Video post date,Creator username,GMV,Affiliate items sold ,Affiliate shoppable video GMV,Shoppable video avg. order value,Est. commission,Est. flat fee,Affiliate orders,Shoppable video impressions,Affiliate CTR,Shoppable video GPM,Affiliate items refunded,Affiliate refunded GMV,Shoppable video comments,Shoppable video likes
What’s in my Bagsmart Quilted Mini Backpack 💞 #bagsmart #minibackpack #bagsmartminibackpack #pink #pinkaesthetic #pinksetup #backpack #pinkbackpack #whatsinmybackpack #cuteaesthetic #packmybag ,https://www.tiktok.com/@kaerie.sweet/video/7522651774365224205,2025-07-02,kaerie.sweet,0,0,0,--,0,--,0,962,0.00%,0,0,0,0,9
THE CUTEST PACKAGING EVERR🎀🎀🎀🩷 #colorgram #liptint #lipblur #lipstick #lipcombo #colorgramfruityglasstint #colorgrammakeup #fypシ #trending #engagement @COLORGRAM OFFICIAL ,https://www.tiktok.com/@serenityvalencia22/video/7522652536394845453,2025-07-02,serenityvalencia22,0,0,0,--,0,--,0,564,1.15%,0,0,0,5,22
#colorgram @COLORGRAM OFFICIAL #makeup #highlighter ,https://www.tiktok.com/@justmearelis/video/7522654592165858574,2025-07-02,justmearelis,0,0,0,--,0,--,0,259,8.17%,0,0,0,2,4
trying another viral korean lip tint ༘˚⋆𐙚｡⋆𖦹.✧˚ colorgram fruity glass tint + nude blur tint  #kbeauty #kmakeup #koreanmakeup #lips #liptint #lipgloss #colorgramlipstain #douyinmakeup #xhsmakeup @COLORGRAM OFFICIAL @4am.kr #s#sunkissedlipss#sunkissedmakeups#summervibesi#islandgirlmakeupg#glowupg#glowymakeups#summermakeupl#lipcombol#lipstainc#colorgramc#colorgramgirlsc#colorgramglowupc#colorgramliptintf#fruityglasstintn#nudeblurtintg#glosstostaina#amazonprimedayp#primedayfindsp#primedaydealsa#amazonmusthavesamazonbeauty ,https://www.tiktok.com/@c.ndyc/video/7522664481290325279,2025-07-02,c.ndyc,0,0,0,--,0,--,0,556,1.22%,0,0,0,3,7
Love these cuties. You can use a blur tint and apply a gloss on top too 😌 - @COLORGRAM OFFICIAL @4am.kr  - #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain ,https://www.tiktok.com/@la_kiss_boutique/video/7522668653569920287,2025-07-02,la_kiss_boutique,0,0,0,--,0,--,0,501,1.39%,0,0,0,4,4
COLOR GLAM NUDE BLUR TINT LIPPIE 💄💋#colorglam #nudelip #koreanskincareproducts #nudeblurtint #lippie #liptints #creatorpicks #dealsforyoudays #dealsfordays #tiktokshop ,https://www.tiktok.com/@light.love.looks/video/7523022942662413598,2025-07-03,light.love.looks,0,0,0,--,0,--,0,94,1.00%,0,0,0,2,1
#creatorsearchinsights MY FAVORITE lippie tint. #3 nude blur tint lippie color glam 💄💋 korean skincare formulated lippie tint ✨️ #dealsfordays #dealsforyoudays #creatorpicks #tiktokshop #liptints #nudeblurtint #koreanskincareproducts #colorglam #nudelip #lippie #myfavliptint #myfavproducts ,https://www.tiktok.com/@light.love.looks/video/7523029842724392222,2025-07-03,light.love.looks,0,0,0,--,0,--,0,47,2.00%,0,0,0,1,3
Such a pretty glitter gloss lip tint combo @COLORGRAM OFFICIAL ,https://www.tiktok.com/@essentialbeautyfinds/video/7523288361700805943,2025-07-04,essentialbeautyfinds,0,0,0,--,0,--,0,125,1.47%,0,0,0,4,12
Labial te hidrata y es de large duracion #labial #hermoso #duracion ,https://www.tiktok.com/@heri.lucio/video/7523296910434782494,2025-07-04,heri.lucio,0,0,0,--,0,--,0,50,0.00%,0,0,0,1,5
Color glam nude blur tint lippie korean skincare formulated lippie tint! #dealsfordays #dealsforyoudays #creatorpicks #tiktokshop #tiktokmademebuyit #koreanskincareproducts #nudeblurtint #colorglam #lippie #liptints ,https://www.tiktok.com/@light.love.looks/video/7523388128237817118,2025-07-04,light.love.looks,0,0,0,--,0,--,0,84,0.00%,0,0,0,2,2
Obsessed! 💋 This lip combo is everything 😍 Shimmery gloss and long-lasting tint from @COLORGRAM OFFICIAL ,https://www.tiktok.com/@essentialbeautyfinds/video/7523405228209753399,2025-07-04,essentialbeautyfinds,0,0,0,--,0,--,0,119,0.78%,0,0,0,2,11
Korean skincare formulated NUDE BLUR TINT LIPPIE COLOR GLAM! my lips feel so silky hydrated! #dealsfordays #dealsforyoudays #creatorpicks #tiktokshop #colorglam #lippie #liptints #koreanskincareproducts #nudeblurtint #makeupmusthaves #liptintviral ,https://www.tiktok.com/@light.love.looks/video/7523482187795074318,2025-07-04,light.love.looks,0,0,0,--,0,--,0,38,0.00%,0,0,0,1,1
Labios y mejillas lindos si te gusta lo bueno es para ti #labios #mejillas #hermosos ,https://www.tiktok.com/@heri.lucio/video/7523609077671300383,2025-07-05,heri.lucio,0,0,0,--,0,--,0,120,0.85%,0,0,0,1,2
Labial hermoso de larga duración #labial #hidrata #hermoso ,https://www.tiktok.com/@heri.lucio/video/7523619868843740447,2025-07-05,heri.lucio,0,0,0,--,0,--,0,63,0.00%,0,0,0,1,1
Labial hermoso te hidrata  asta por 24 horas #labial #hidrata ,https://www.tiktok.com/@heri.lucio/video/7523620025266081054,2025-07-05,heri.lucio,0,0,0,--,0,--,0,46,0.00%,0,0,0,1,3
its so pretty and pink #colorgram #colorgramhighlighter #highlighter #kbeauty #pinkmakeup #wonyoungism #fypシ ,https://www.tiktok.com/@zerosy.he4rts/video/7523729900742708535,2025-07-05,zerosy.he4rts,0,0,0,--,0,--,0,2143,5.24%,0,0,0,5,99
#COLORGRAM FRUITY GLASS TINT 🍓🍒 #liptint #koreanmakeup #TiktokShopCreatorPicks #DealsForYouDay ,https://www.tiktok.com/@lalalakays/video/7523892287810686263,2025-07-06,lalalakays,0,0,0,--,0,--,0,337,4.87%,0,0,0,0,7
,https://www.tiktok.com/@katiefindsdeals/video/7523959988801359159,2025-07-06,katiefindsdeals,0,0,0,--,0,--,0,407,3.13%,0,0,0,1,8
Last so long #colorgram #liptint ,https://www.tiktok.com/@nancyslife90/video/7523998395627736350,2025-07-06,nancyslife90,0,0,0,--,0,--,0,320,3.24%,0,0,0,0,16
Such a pretty matte lip combo #lipcombo #lipliner ,https://www.tiktok.com/@nancyslife90/video/7523998748133887262,2025-07-06,nancyslife90,0,0,0,--,0,--,0,307,3.31%,0,0,0,1,9
Love this mauve shade #colorgram #lipcombo #lipliner ,https://www.tiktok.com/@nancyslife90/video/7523999632326790431,2025-07-06,nancyslife90,0,0,0,--,0,--,0,328,0.87%,0,0,0,1,10
kbeauty guide to neutral colors since i feel like no one ever talks about neutrals 😭 @COLORGRAM OFFICIAL  ive always preferred neutrals bcuz majority of the time it suits most people and a great place to start when it comes to makeup beginners!! definitely will go more in depth :) but for now this is one of my favs that colorgram sent me~  #colorgram #liptints #kbeauty #koreanmakeup #lipgloss #hydratinggloss #mlbb #neutralmakeup ,https://www.tiktok.com/@alana.lyy/video/7524044314570132791,2025-07-06,alana.lyy,0,0,0,--,0,--,0,1030,3.30%,0,0,0,3,17
heard many good things about the colorgram tints!  ⋆˙⟡ - YS: PYOZ009 SV: INF10BLACKTEA - ⋆˙⟡ #colorgram #colorgramfruityglasstint #colorgramtint #liptint #koreanbeauty #kbeauty #asianmakeup #lipgloss #lipstain #cbeauty #jbeauty #wonyoungism #yesstyle ,https://www.tiktok.com/@icedpeachblacktea/video/7524130807531851038,2025-07-06,icedpeachblacktea,0,0,0,--,0,--,0,363,3.48%,0,0,0,6,18
